timestep,voltage_V,pH
599,4.097,7.05
600,4.092,7.08
601,4.092,7.08
602,4.097,7.05
603,4.087,7.1
604,4.087,7.1
605,4.092,7.08
606,4.102,7.02
607,4.106,6.99
608,4.106,6.99
609,4.106,6.99
610,4.097,7.05
611,4.092,7.08
612,4.087,7.1
613,4.092,7.08
614,4.097,7.05
615,4.092,7.08
616,4.092,7.08
617,4.092,7.08
618,4.097,7.05
619,4.097,7.05
620,4.102,7.02
621,4.111,6.97
622,4.111,6.97
623,4.097,7.05
624,4.092,7.08
625,4.087,7.1
626,4.092,7.08
627,4.102,7.02
628,4.092,7.08
629,4.087,7.1
630,4.092,7.08
631,4.092,7.08
632,4.097,7.05
633,4.106,6.99
634,4.111,6.97
635,4.111,6.97
636,4.106,6.99
637,4.097,7.05
638,4.092,7.08
639,4.092,7.08
640,4.087,7.1
641,4.087,7.1
642,4.087,7.1
643,4.102,7.02
644,4.092,7.08
645,4.097,7.05
646,4.102,7.02
647,4.106,6.99
648,4.116,6.94
649,4.106,6.99
650,4.092,7.08
651,4.087,7.1
652,4.097,7.05
653,4.087,7.1
654,4.082,7.13
655,4.092,7.08
656,4.087,7.1
657,4.087,7.1
658,4.092,7.08
659,4.111,6.97
660,4.106,6.99
661,4.106,6.99
662,4.097,7.05
663,4.102,7.02
664,4.087,7.1
665,4.092,7.08
666,4.082,7.13
667,4.092,7.08
668,4.082,7.13
669,4.097,7.05
670,4.092,7.08
671,4.102,7.02
672,4.102,7.02
673,4.106,6.99
674,4.111,6.97
675,4.106,6.99
676,4.097,7.05
677,4.092,7.08
678,4.092,7.08
679,4.082,7.13
680,4.087,7.1
681,4.092,7.08
682,4.087,7.1
683,4.092,7.08
684,4.102,7.02
685,4.111,6.97
686,4.106,6.99
687,4.106,6.99
688,4.111,6.97
689,4.097,7.05
690,4.092,7.08
691,4.087,7.1
692,4.087,7.1
693,4.092,7.08
694,4.092,7.08
695,4.092,7.08
696,4.097,7.05
697,4.102,7.02
698,4.111,6.97
699,4.106,6.99
700,4.111,6.97
701,4.106,6.99
702,4.087,7.1
703,4.092,7.08
704,4.092,7.08
705,4.087,7.1
706,4.097,7.05
707,4.087,7.1
708,4.097,7.05
709,4.102,7.02
710,4.097,7.05
711,4.106,6.99
712,4.106,6.99
713,4.111,6.97
714,4.102,7.02
715,4.102,7.02
716,4.102,7.02
717,4.092,7.08
718,4.087,7.1
719,4.092,7.08
720,4.092,7.08
721,4.092,7.08
722,4.102,7.02
723,4.102,7.02
724,4.111,6.97
725,4.111,6.97
726,4.102,7.02
727,4.106,6.99
728,4.087,7.1
729,4.087,7.1
730,4.092,7.08
731,4.087,7.1
732,4.097,7.05
733,4.092,7.08
734,4.092,7.08
735,4.097,7.05
736,4.106,6.99
737,4.111,6.97
738,4.106,6.99
739,4.106,6.99
740,4.102,7.02
741,4.106,6.99
742,4.097,7.05
743,4.092,7.08
744,4.092,7.08
745,4.097,7.05
746,4.097,7.05
747,4.092,7.08
748,4.102,7.02
749,4.106,6.99
750,4.116,6.94
751,4.116,6.94
752,4.111,6.97
753,4.097,7.05
754,4.092,7.08
755,4.087,7.1
756,4.087,7.1
757,4.092,7.08
758,4.092,7.08
759,4.087,7.1
760,4.092,7.08
761,4.097,7.05
762,4.102,7.02
763,4.111,6.97
764,4.111,6.97
765,4.102,7.02
766,4.097,7.05
767,4.092,7.08
768,4.092,7.08
769,4.087,7.1
770,4.092,7.08
771,4.092,7.08
772,4.092,7.08
773,4.097,7.05
774,4.106,6.99
775,4.116,6.94
776,4.106,6.99
777,4.106,6.99
778,4.102,7.02
779,4.087,7.1
780,4.087,7.1
781,4.092,7.08
782,4.087,7.1
783,4.097,7.05
784,4.092,7.08
785,4.092,7.08
786,4.097,7.05
787,4.102,7.02
