timestep,raw_value,voltage_V,tds_ppm
1141,93,0.454,197.4
1142,94,0.459,199.6
1143,94,0.459,199.6
1144,93,0.454,197.4
1145,93,0.454,197.4
1146,94,0.459,199.6
1147,93,0.454,197.4
1148,93,0.454,197.4
1149,94,0.459,199.6
1150,94,0.459,199.6
1151,93,0.454,197.4
1152,94,0.459,199.6
1153,93,0.454,197.4
1154,94,0.459,199.6
1155,94,0.459,199.6
1156,94,0.459,199.6
1157,94,0.459,199.6
1158,94,0.459,199.6
1159,94,0.459,199.6
1160,93,0.454,197.4
1161,93,0.454,197.4
1162,94,0.459,199.6
1163,94,0.459,199.6
1164,94,0.459,199.6
1165,94,0.459,199.6
1166,94,0.459,199.6
1167,94,0.459,199.6
1168,94,0.459,199.6
1169,94,0.459,199.6
1170,93,0.454,197.4
1171,94,0.459,199.6
1172,93,0.454,197.4
1173,93,0.454,197.4
1174,94,0.459,199.6
1175,94,0.459,199.6
1176,94,0.459,199.6
1177,93,0.454,197.4
1178,94,0.459,199.6
1179,93,0.454,197.4
1180,93,0.454,197.4
1181,94,0.459,199.6
1182,94,0.459,199.6
1183,94,0.459,199.6
1184,94,0.459,199.6
1185,94,0.459,199.6
